commit,run_id,rx_size,repeat,phase_index,value_size,duration,clients,pipeline,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,1,0,4096,20.258000,4,16,4234112,209009.379,6.848819,290.379,263.000,759.000,0,0,17533192768,16714,2476997000,16718,1023.818996,0.030568
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,1,1,65536,20.430000,4,16,278992,13655.996,7.159675,4536.428,4415.000,8063.000,0,0,18296853344,17451,16743058000,17451,1024.103337,0.204883
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,1,2,1048576,30.257000,4,16,17696,584.856,4.906131,108318.662,105855.000,148735.000,0,0,18556450304,17697,22418920000,17697,1024.010991,0.185237
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,1,3,4194304,30.282000,4,16,4400,145.301,4.875487,434595.491,436735.000,512767.000,0,0,18455148800,17600,21530541000,17600,1023.988281,0.177750
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,1,4,65536,30.489000,4,16,499712,16389.911,8.593034,3815.386,3775.000,6743.000,0,0,32772112384,31252,25484073000,31253,1023.969796,0.208961
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,1,5,4096,60.272000,4,16,15370048,255011.415,8.356214,240.355,207.000,703.000,0,0,63647368768,60686,7483343000,60699,1024.002347,0.031040
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,2,0,4096,20.256000,4,16,5134912,253500.790,8.306714,239.913,207.000,703.000,0,0,21263405568,20273,2488646000,20277,1023.931133,0.030715
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,2,1,65536,20.408000,4,16,335760,16452.372,8.625781,3783.006,3679.000,7375.000,0,0,22019812320,20999,17028531000,20999,1023.964430,0.208601
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,2,2,1048576,30.317000,4,16,18528,611.142,5.126633,103537.306,101183.000,138367.000,0,0,19428905472,18530,22017867000,18530,1024.063657,0.181564
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,2,3,4194304,30.362000,4,16,4512,148.607,4.986417,424127.887,419327.000,532479.000,0,0,18924916224,18048,21289151000,18048,1023.988281,0.175294
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,2,4,65536,30.264000,4,16,484256,16001.057,8.389162,3938.622,3863.000,7447.000,0,0,31758476992,30284,25575336000,30286,1023.957946,0.211269
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,2,5,4096,60.271000,4,16,16391600,271964.958,8.911748,225.540,191.000,671.000,0,0,67877615600,64720,7409810000,64735,1024.029444,0.030735
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,1048576,3,0,4096,20.260000,4,16,5562400,274550.839,8.996482,221.652,191.000,663.000,0,0,23033633376,21961,2476341000,21965,1023.926134,0.030557
