git_commit,timestamp,mode,rx_size,value_size,clients,pipeline,threads,repetition,duration,rps,payload_gbps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,exit_status,server_error,bench_error,verify_strlen,raw_file
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:11:11+08:00,full,65536,65536,1,1,1,1,5,4856.60,2.5463,0.201,0.167,0.439,0.679,0,none,,ok,full-rx65536-d65536-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:11:18+08:00,full,65536,65536,1,1,1,2,5,5376.40,2.8188,0.181,0.143,0.431,0.711,0,none,,ok,full-rx65536-d65536-c1-P1-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:11:25+08:00,full,65536,65536,1,1,1,3,5,5031.00,2.6377,0.194,0.159,0.407,0.631,0,none,,ok,full-rx65536-d65536-c1-P1-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:11:32+08:00,full,65536,65536,1,16,1,1,5,6550.98,3.4346,2.361,2.047,4.455,5.383,0,none,,ok,full-rx65536-d65536-c1-P16-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:11:40+08:00,full,65536,65536,1,16,1,2,5,6391.04,3.3507,2.419,2.103,4.279,5.079,0,none,,ok,full-rx65536-d65536-c1-P16-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:11:47+08:00,full,65536,65536,1,16,1,3,5,6762.10,3.5453,2.286,1.983,4.095,5.535,0,none,,ok,full-rx65536-d65536-c1-P16-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:11:54+08:00,full,65536,65536,4,1,1,1,5,7790.80,4.0846,0.509,0.431,1.023,1.367,0,none,,ok,full-rx65536-d65536-c4-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:01+08:00,full,65536,65536,4,1,1,2,5,7694.40,4.0341,0.515,0.447,1.047,1.383,0,none,,ok,full-rx65536-d65536-c4-P1-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:08+08:00,full,65536,65536,4,1,1,3,5,11330.60,5.9405,0.350,0.311,0.679,1.015,0,none,,ok,full-rx65536-d65536-c4-P1-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:15+08:00,full,65536,65536,4,16,1,1,5,9623.68,5.0456,6.652,6.015,10.519,11.999,0,none,,ok,full-rx65536-d65536-c4-P16-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:22+08:00,full,65536,65536,4,16,1,2,5,10235.91,5.3666,6.251,5.655,9.511,12.575,0,none,,ok,full-rx65536-d65536-c4-P16-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:30+08:00,full,65536,65536,4,16,1,3,5,10007.60,5.2469,6.394,5.759,10.103,12.591,0,none,,ok,full-rx65536-d65536-c4-P16-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:37+08:00,full,65536,262144,1,1,1,1,5,2627.40,5.5101,0.378,0.351,0.583,0.839,0,none,,ok,full-rx65536-d262144-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:44+08:00,full,65536,262144,1,1,1,2,5,2691.00,5.6434,0.369,0.343,0.535,0.831,0,none,,ok,full-rx65536-d262144-c1-P1-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:51+08:00,full,65536,262144,1,1,1,3,5,2437.20,5.1112,0.407,0.367,0.663,0.959,0,none,,ok,full-rx65536-d262144-c1-P1-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:12:58+08:00,full,65536,262144,1,16,1,1,5,2749.80,5.7667,5.783,5.287,8.335,11.927,0,none,,ok,full-rx65536-d262144-c1-P16-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:13:05+08:00,full,65536,262144,1,16,1,2,5,2833.50,5.9423,5.606,5.263,7.607,10.087,0,none,,ok,full-rx65536-d262144-c1-P16-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:13:12+08:00,full,65536,262144,1,16,1,3,5,2809.99,5.8930,5.653,5.231,7.735,9.759,0,none,,ok,full-rx65536-d262144-c1-P16-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:13:20+08:00,full,65536,262144,4,1,1,1,5,2657.00,5.5721,1.503,1.335,2.639,3.343,0,none,,ok,full-rx65536-d262144-c4-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:13:27+08:00,full,65536,262144,4,1,1,2,5,2337.60,4.9023,1.708,1.487,2.935,3.615,0,none,,ok,full-rx65536-d262144-c4-P1-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:13:34+08:00,full,65536,262144,4,1,1,3,5,2436.80,5.1103,1.638,1.399,2.903,3.591,0,none,,ok,full-rx65536-d262144-c4-P1-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T12:13:41+08:00,full,65536,262144,4,16,1,1,5,2379.85,4.9909,27.020,23.919,44.767,59.103,0,none,,ok,full-rx65536-d262144-c4-P16-r1
