git_commit,timestamp,mode,rx_size,value_size,clients,pipeline,threads,repetition,duration,rps,payload_gbps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,exit_status,server_error,bench_error,verify_strlen,rx_reannounce_count,reannounces_per_gib,tx_wait_count,tx_wait_ns,avg_wait_us,normalized_wait_ratio,raw_file
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:49:42+08:00,full,65536,65536,1,1,1,1,5,6844.40,3.5884,0.142,0.127,0.255,0.535,0,none,,ok,47121,16383.8,47123,3171161000,67.2954,0.634232,full-rx65536-d65536-c1-P1-r1
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:49:49+08:00,full,65536,65536,1,1,1,2,5,6246.60,3.2750,0.156,0.135,0.311,0.567,0,none,,ok,43138,16383.8,43140,3151815000,73.0602,0.630363,full-rx65536-d65536-c1-P1-r2
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:49:56+08:00,full,65536,65536,1,1,1,3,5,5378.60,2.8199,0.181,0.159,0.391,0.631,0,none,,ok,40723,16383.7,40725,3150589000,77.3625,0.630118,full-rx65536-d65536-c1-P1-r3
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:50:03+08:00,full,65536,65536,1,16,1,1,5,8260.75,4.3310,1.873,1.719,2.903,4.127,0,none,,ok,55755,16383.9,55756,6233061000,111.792,1.24661,full-rx65536-d65536-c1-P16-r1
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:50:10+08:00,full,65536,65536,1,16,1,2,5,7793.64,4.0861,1.983,1.839,3.111,4.199,0,none,,ok,55323,16384,55324,6211426000,112.274,1.24229,full-rx65536-d65536-c1-P16-r2
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:50:17+08:00,full,65536,65536,1,16,1,3,5,8596.20,4.5069,1.797,1.647,2.799,4.103,0,none,,ok,61295,16383.8,61296,6240712000,101.813,1.24814,full-rx65536-d65536-c1-P16-r3
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:50:25+08:00,full,65536,65536,4,1,1,1,5,9824.24,5.1507,0.403,0.359,0.791,1.247,0,none,,ok,67117,16384,67122,5695820000,84.8577,0.284791,full-rx65536-d65536-c4-P1-r1
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:50:32+08:00,full,65536,65536,4,1,1,2,5,9064.00,4.7521,0.437,0.391,0.839,1.247,0,none,,ok,63458,16383.7,63463,5694753000,89.7334,0.284738,full-rx65536-d65536-c4-P1-r2
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:50:39+08:00,full,65536,65536,4,1,1,3,5,10062.20,5.2755,0.394,0.351,0.735,1.223,0,none,,ok,67952,16383.8,67957,5707746000,83.9906,0.285387,full-rx65536-d65536-c4-P1-r3
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:50:46+08:00,full,65536,65536,4,16,1,1,5,8534.19,4.4744,7.503,7.063,11.351,15.911,0,none,,ok,59564,16383.4,59566,6412764000,107.658,0.320638,full-rx65536-d65536-c4-P16-r1
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:50:53+08:00,full,65536,65536,4,16,1,2,5,8435.20,4.4225,7.589,6.743,12.927,16.319,0,none,,ok,59324,16383.4,59325,6400380000,107.887,0.320019,full-rx65536-d65536-c4-P16-r2
f49304e74f3b322007e9e038dc090ec019016d25,2026-08-27T16:51:01+08:00,full,65536,65536,4,16,1,3,5,7320.14,3.8379,8.742,8.031,14.519,18.671,0,none,,ok,51896,16383.9,51897,6395667000,123.238,0.319783,full-rx65536-d65536-c4-P16-r3
